State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
IL,Saline County,23.2,35.2,40873
IL,Sangamon County,15.3,22.8,57591
IL,Schuyler County,12.9,19.6,50720
IL,Scott County,11.3,18,50474
IL,Shelby County,11.6,17.1,49633
IL,Stark County,12.7,17.7,50083
IL,Stephenson County,13,22.5,46430
IL,Tazewell County,8.4,12.2,57747
IL,Union County,15.3,25.6,44221
IL,Vermilion County,18.4,29.1,44705
IL,Wabash County,12.2,19.6,51224
IL,Warren County,14.3,20.8,46189
IL,Washington County,8.8,13.7,57019
IL,Wayne County,12.8,21.7,47995
IL,White County,14.9,23,46588
IL,Whiteside County,12.8,19.6,45463
IL,Will County,8,11.3,76293
IL,Williamson County,16.2,25,47678
IL,Winnebago County,14.7,22.5,50024
IL,Woodford County,7,9,68233
IN,Indiana,14.4,20.4,50510
IN,Adams County,12.8,25.3,49251
IN,Allen County,14.6,20.8,50017
IN,Bartholomew County,11.9,15.5,55580
IN,Benton County,11.1,18.2,50754
IN,Blackford County,14.5,24,39611
IN,Boone County,6,7.4,75163
IN,Brown County,11.4,19.9,53801
IN,Carroll County,9.4,13.7,52550
IN,Cass County,13.1,20,45575
IN,Clark County,10.4,16.2,51614
IN,Clay County,12.9,20.4,48947
IN,Clinton County,11.9,18.5,50342
IN,Crawford County,18.7,28.5,41331
IN,Daviess County,14.6,21.9,47019
IN,Dearborn County,8.9,12.7,64093
IN,Decatur County,13,18.6,51625
IN,De Kalb County,10.5,14.9,52382
IN,Delaware County,23,31.2,40633
IN,Dubois County,7.6,9,57336
IN,Elkhart County,14,19.4,50117
IN,Fayette County,16.2,23.8,42538
IN,Floyd County,11.3,17.5,57367
IN,Fountain County,12.1,18.9,51108
IN,Franklin County,9.9,13.7,53263
IN,Fulton County,11.7,19.7,51660
IN,Gibson County,11,14.6,53483
IN,Grant County,18,26.9,39984
IN,Greene County,14.7,21.6,47952
IN,Hamilton County,4.7,5.2,91844
IN,Hancock County,6,8.1,70277
IN,Harrison County,11.2,15.3,53719
IN,Hendricks County,5.5,6.7,73478
IN,Henry County,14.7,20.6,47954
IN,Howard County,16.9,24.8,47390
IN,Huntington County,10.9,16.2,49103
IN,Jackson County,12.1,16.8,45504
IN,Jasper County,9.3,13.2,60195
IN,Jay County,15.2,24.9,42646
IN,Jefferson County,13.4,20.2,47841
IN,Jennings County,13.1,21.1,46047
IN,Johnson County,8,10.7,68256
IN,Knox County,19.1,24.1,42818
IN,Kosciusko County,10,13.8,54147
IN,Lagrange County,8.6,13.6,56662
IN,Lake County,16.6,26.5,50613
IN,La Porte County,15.7,24.7,47401
IN,Lawrence County,13.9,21,46890
IN,Madison County,16.7,25.2,45065
IN,Marion County,20.6,31,41407
IN,Marshall County,10.6,15,49714
IN,Martin County,13.8,19.5,47717
IN,Miami County,14.8,22.6,46968
IN,Monroe County,23.5,18.2,45341
IN,Montgomery County,12.3,18.7,49425
IN,Morgan County,11.4,16.2,58376
IN,Newton County,12.2,17.6,48316
IN,Noble County,9.8,14.2,51876
IN,Ohio County,10.2,15.6,53177
IN,Orange County,15.7,24.3,40918
IN,Owen County,15.8,24.8,43731
IN,Parke County,17.2,25,43637
IN,Perry County,13.2,18,47192
IN,Pike County,11.1,16.2,47324
IN,Porter County,11.6,14.8,66070
IN,Posey County,9.7,12.9,58298
IN,Pulaski County,14.2,21.1,47455
IN,Putnam County,13.6,17.6,53910
IN,Randolph County,18,27.1,41315
IN,Ripley County,10.6,15.4,51553
IN,Rush County,13.9,20.4,48970
IN,St. Joseph County,16.7,24.5,46881
IN,Scott County,15.6,24,43104
IN,Shelby County,11.9,17.2,54639
IN,Spencer County,9.4,12,56451
IN,Starke County,14.8,23,48106
IN,Steuben County,10.1,16,53191
IN,Sullivan County,16.4,20.9,44939
IN,Switzerland County,15.9,28.3,46344
IN,Tippecanoe County,18.9,17.8,50170
IN,Tipton County,8.7,12.9,56292
IN,Union County,12.4,20.3,45050
IN,Vanderburgh County,17.2,24.8,43823
IN,Vermillion County,12.9,18.5,44376
IN,Vigo County,20.4,25.2,39635
IN,Wabash County,12,18.1,48223
IN,Warren County,10.2,16.3,57768
IN,Warrick County,7.5,9.8,66461
IN,Washington County,14.4,22.9,43498
IN,Wayne County,18,28.4,41849
IN,Wells County,9.5,13.8,55987
IN,White County,10.9,17.9,50370
IN,Whitley County,7.9,11.3,56142
IA,Iowa,12.1,14.9,54843
IA,Adair County,11.9,16.5,51531
IA,Adams County,12.5,20.2,48162
IA,Allamakee County,10.8,17,47756
IA,Appanoose County,16.5,25.2,41018
IA,Audubon County,10.3,15.3,50948
IA,Benton County,8.3,10.3,65127
IA,Black Hawk County,14.2,16.8,50335
IA,Boone County,8.8,11.4,58010
IA,Bremer County,7.8,7.1,65295
IA,Buchanan County,10.3,14.4,55848
IA,Buena Vista County,13.7,19.1,51991
IA,Butler County,9.2,11.8,54947
IA,Calhoun County,12.5,16.5,49206
IA,Carroll County,8.7,10.5,58575
IA,Cass County,13.9,19.7,45915
IA,Cedar County,7.3,9.7,60120
IA,Cerro Gordo County,12.3,14.7,50208
IA,Cherokee County,10.3,14.2,52879
IA,Chickasaw County,8.5,13.6,57559
IA,Clarke County,11.8,18.2,49424
IA,Clay County,11.6,15.7,52584
IA,Clayton County,11.2,16.6,48598
IA,Clinton County,13.4,18.2,52945
IA,Crawford County,15.1,18.4,51834
IA,Dallas County,5.3,6,81381
IA,Davis County,12.7,21,49851
IA,Decatur County,21.7,27.1,39424
IA,Delaware County,10.2,12.9,59260
IA,Des Moines County,14.7,22.6,50125
IA,Dickinson County,8.6,10.7,56869
IA,Dubuque County,12,13.9,57862
IA,Emmet County,13.8,19,46092
IA,Fayette County,12.9,18.1,47615
IA,Floyd County,14.5,18.1,49111
IA,Franklin County,11.9,17.3,52975
IA,Fremont County,12.1,17,55421
IA,Greene County,11.1,16.5,51002
IA,Grundy County,6.3,8.6,62423
IA,Guthrie County,10.4,13.6,54719
IA,Hamilton County,11,15.6,54042
IA,Hancock County,9.2,12.2,56746
IA,Hardin County,9.6,16.5,50947
IA,Harrison County,9.9,13.2,57244
IA,Henry County,12,16.4,50241
IA,Howard County,11,15.7,50602
IA,Humboldt County,10.8,14.5,52702
IA,Ida County,10.6,13.1,53804
IA,Iowa County,6.9,8.2,63185
IA,Jackson County,12.9,17.6,49956
IA,Jasper County,9.3,12.9,53765
IA,Jefferson County,15.3,20,43495
IA,Johnson County,18.3,12.7,57706
IA,Jones County,11.1,14.3,55789
IA,Keokuk County,12.1,18.1,50054
IA,Kossuth County,11.6,15.1,52433
IA,Lee County,15.9,22.9,45428
IA,Linn County,11,12.2,58142
IA,Louisa County,10.8,15.8,53197
IA,Lucas County,14.7,24.1,46933
IA,Lyon County,7.4,9.1,64057
IA,Madison County,8.2,10.3,65294
IA,Mahaska County,14.4,16.7,50335
IA,Marion County,9.2,10.6,57411
IA,Marshall County,11.3,17.3,53980
IA,Mills County,10.3,13.5,62507
IA,Mitchell County,9.3,14.7,61352
IA,Monona County,13.2,18,43991
IA,Monroe County,12.1,16,48181
IA,Montgomery County,13.4,19.6,43210
IA,Muscatine County,11.5,16.2,53401
IA,O'Brien County,9.2,12.3,53907
IA,Osceola County,9.6,14.7,54415
IA,Page County,15.7,24,46870
IA,Palo Alto County,11.6,15.6,48992
IA,Plymouth County,8.3,10.2,61929
IA,Pocahontas County,13.1,20.8,47872
IA,Polk County,11.9,14.7,60436
IA,Pottawattamie County,13.5,18.7,52927
IA,Poweshiek County,10.9,12.6,52861
IA,Ringgold County,14.1,24.9,45870
IA,Sac County,10.9,14.3,52506
IA,Scott County,12.4,16.7,58160
IA,Shelby County,9.2,11.3,54614
IA,Sioux County,7.6,8,62875
IA,Story County,18.6,9.5,51706
IA,Tama County,11.2,16.5,59226
IA,Taylor County,14.7,20.3,46466
IA,Union County,14.3,19.6,45010
IA,Van Buren County,15.8,24.7,43653
IA,Wapello County,16,22.1,44738
IA,Warren County,7.8,8.9,67728
IA,Washington County,10.9,14.9,55283
IA,Wayne County,16.4,26.2,44381
IA,Webster County,14.6,19.6,44922
IA,Winnebago County,10.8,15,48408
IA,Winneshiek County,9.5,9.5,59096
IA,Woodbury County,14,19.6,50774
IA,Worth County,10.9,15.1,50761
IA,Wright County,12.6,18.2,49882
KS,Kansas,12.9,16.9,53802
KS,Allen County,18.9,26,41604
KS,Anderson County,14,19.9,47267
KS,Atchison County,16.6,21.5,46110
KS,Barber County,11.1,17.3,54176
KS,Barton County,14.4,20.1,50558
KS,Bourbon County,18.2,26.5,39609
KS,Brown County,14.9,23,46884
KS,Butler County,10.6,12.8,61473
KS,Chase County,12.7,16.5,48911
KS,Chautauqua County,16.8,25.6,42324
KS,Cherokee County,18,27.8,39842
KS,Cheyenne County,12.3,19.2,44111
KS,Clark County,12,15.6,50392
KS,Clay County,11.1,16.9,51351
KS,Cloud County,12.8,18.1,42730
KS,Coffey County,9.9,12.4,57160
KS,Comanche County,11.4,15.1,43809
KS,Cowley County,15.3,21.4,47851
KS,Crawford County,19.1,24.5,38139
KS,Decatur County,12.3,19.6,43919
KS,Dickinson County,12.2,16.1,47570
KS,Doniphan County,13.2,19.3,47000
KS,Douglas County,19.4,13.2,52447
KS,Edwards County,10.6,14,46380
KS,Elk County,17.6,30.7,39147
KS,Ellis County,12,12.2,49192
KS,Ellsworth County,10.6,13.1,49986
KS,Finney County,14.6,20.5,53245
KS,Ford County,13.2,18.9,47915
KS,Franklin County,11.7,17.3,51484
KS,Geary County,11.9,20.1,45590
KS,Gove County,9.9,14.9,46580
KS,Graham County,12.2,16.9,45018
KS,Grant County,10.2,15.8,59218
KS,Gray County,8.3,11,64284
KS,Greeley County,11.4,18.4,44667
KS,Greenwood County,15.8,24.6,41168
KS,Hamilton County,13.1,19.8,50056
KS,Harper County,13.7,19.6,46869
KS,Harvey County,9.4,13.5,55470
KS,Haskell County,11.2,16,59356
KS,Hodgeman County,9.6,12.2,54513
KS,Jackson County,11.3,14.2,51662
KS,Jefferson County,9.1,13.9,59080
KS,Jewell County,13.5,21.6,43201
KS,Johnson County,5.5,6.5,83007
KS,Kearny County,11.5,16.6,59134
KS,Kingman County,11.5,16.9,52907
KS,Kiowa County,12.6,16.8,46381
KS,Labette County,18.2,27.3,42323
KS,Lane County,9.6,14.8,57388
KS,Leavenworth County,10.7,13.1,61465
KS,Lincoln County,12.5,19.5,42277
KS,Linn County,14,21.2,46065
KS,Logan County,9.4,13.1,48399
KS,Lyon County,17.5,18.9,39562
KS,McPherson County,7.6,10,61356
KS,Marion County,10.9,14.4,51196
KS,Marshall County,10.7,14.1,49270
KS,Meade County,9.5,12.3,56325
KS,Miami County,8.8,11.4,62375
KS,Mitchell County,10.5,14.8,48310
KS,Montgomery County,19.9,27.6,43289
KS,Morris County,10.8,16.9,49720
KS,Morton County,10.3,15.3,53443
KS,Nemaha County,8.8,10,54486
KS,Neosho County,18.9,28.1,40744
KS,Ness County,9.4,13.6,53456
KS,Norton County,12.7,15.2,45096
KS,Osage County,12.7,17.1,48364
KS,Osborne County,13.1,20.1,43518
KS,Ottawa County,10,13.8,50302
KS,Pawnee County,14.5,17.4,47359
KS,Phillips County,11.1,17,46984
KS,Pottawatomie County,8.1,10.6,60601
KS,Pratt County,10.8,15.6,52634
KS,Rawlins County,11.7,19.1,47448
KS,Reno County,13.1,17.9,47178
KS,Republic County,11.2,17.3,44593
KS,Rice County,13.8,18.1,52400
KS,Riley County,23.4,15.5,46690
KS,Rooks County,11.7,15.5,45309
KS,Rush County,11.5,17.1,43895
KS,Russell County,13.2,20.7,42625
KS,Saline County,14.3,21.7,47052
KS,Scott County,7.7,12,56267
KS,Sedgwick County,15.2,20.7,50995
KS,Seward County,15,18.2,45807
KS,Shawnee County,14.2,19.9,51316
KS,Sheridan County,10.9,17.3,51221
KS,Sherman County,16.5,24.4,42491
KS,Smith County,12.2,16.5,43872
KS,Stafford County,12.8,20.8,47129
KS,Stanton County,10.9,16.6,55341
KS,Stevens County,11.3,15.5,59735
KS,Sumner County,11.7,17.6,51451
KS,Thomas County,10.9,12,50574
KS,Trego County,10.4,14.6,48576
KS,Wabaunsee County,8.3,12.5,57339
KS,Wallace County,12.4,15.9,48426
KS,Washington County,10.7,13.2,46153
KS,Wichita County,10.9,16.5,52917
KS,Wilson County,15.6,24,41461
KS,Woodson County,19.5,29.6,37394
KS,Wyandotte County,21.9,32.1,41746
KY,Kentucky,18.3,25.3,45178
KY,Adair County,27.2,41,32007
KY,Allen County,19.8,30.2,42287
KY,Anderson County,10.7,16.8,55523
KY,Ballard County,15.1,24.5,44352
KY,Barren County,19.3,28.7,40017
KY,Bath County,24.9,37.8,35143
KY,Bell County,44.7,56.8,23968
KY,Boone County,8.2,10.5,68804
KY,Bourbon County,14.8,24.4,46370
KY,Boyd County,20.5,29.4,43406
KY,Boyle County,17.2,24.9,40459
KY,Bracken County,15.7,24.7,44846
KY,Breathitt County,32.9,42.9,28196
KY,Breckinridge County,19,25.6,42347
KY,Bullitt County,9.6,14.5,54755
KY,Butler County,21.6,31.3,39545
KY,Caldwell County,18.8,29.4,39355
KY,Calloway County,21.1,24.1,40585
KY,Campbell County,14.4,17.8,51694
KY,Carlisle County,14.8,25.2,43144
KY,Carroll County,17.6,28.7,46499
KY,Carter County,19.7,29.4,37204
KY,Casey County,25.1,38.2,33576
KY,Christian County,20.3,28.9,39840
KY,Clark County,15.4,23.9,54812
KY,Clay County,46.8,53,24001
KY,Clinton County,26.4,39.6,29178
KY,Crittenden County,19.2,31.3,40202
KY,Cumberland County,24.8,36.2,30989
KY,Daviess County,14.9,20.9,48724
KY,Edmonson County,20,28.6,38673
KY,Elliott County,34.4,40.3,30299
KY,Estill County,28.2,38.8,32541
KY,Fayette County,19.1,22.6,51963
KY,Fleming County,20,31.8,47030
KY,Floyd County,29.5,43.1,30888
KY,Franklin County,13.7,22.5,50471
KY,Fulton County,30.4,47.6,30798
KY,Gallatin County,15,23.8,47679
KY,Garrard County,17,24.3,45018
KY,Grant County,16.4,27,45307
KY,Graves County,16.3,27.4,39515
KY,Grayson County,22.9,32.5,37057
KY,Green County,20.5,29.1,36226
KY,Greenup County,16.8,23.5,45690
KY,Hancock County,13.8,20,52929
KY,Hardin County,15,21.6,49637
KY,Harlan County,35.5,47.7,27425
KY,Harrison County,16.2,24.4,47040
KY,Hart County,22,31.1,34764
KY,Henderson County,17,24.2,45718
KY,Henry County,17.7,26.5,47802
KY,Hickman County,17.6,29.9,40890
KY,Hopkins County,18.4,26.6,44750
KY,Jackson County,31.2,41,30565
KY,Jefferson County,15.4,22.4,51230
KY,Jessamine County,18.3,23.8,49839
KY,Johnson County,25.9,34.4,36051
KY,Kenton County,12.8,18.2,52631
KY,Knott County,33.8,46.4,30138
KY,Knox County,32,45.2,28578
KY,Larue County,18.1,27.7,40202
KY,Laurel County,23,33.1,37737
KY,Lawrence County,25,34.3,36276
KY,Lee County,34.7,50.2,26201
KY,Leslie County,33.7,39.4,28722
KY,Letcher County,33.2,41.9,31079
KY,Lewis County,24.7,35.6,33867
KY,Lincoln County,21.2,31.4,37220
KY,Livingston County,15.3,25,44551
KY,Logan County,15.5,24.3,43795
KY,Lyon County,16.9,22.4,48189
KY,McCracken County,15.2,24.6,47184
KY,McCreary County,41.5,51.9,25655
KY,McLean County,17.3,26,44007
KY,Madison County,18.2,20.1,46342
KY,Magoffin County,32.6,45.1,29921
KY,Marion County,20.5,27.6,41189
KY,Marshall County,12.1,19.5,49771
KY,Martin County,40,45.3,29198
KY,Mason County,19.5,29.3,37071
KY,Meade County,13.5,20.3,51111
KY,Menifee County,26.8,43.5,34299
KY,Mercer County,15.1,21.9,46346
KY,Metcalfe County,22.9,38.4,32654
KY,Monroe County,25.3,37.8,31603
KY,Montgomery County,21.5,29.9,42468
KY,Morgan County,31.3,40.9,31489
KY,Muhlenberg County,19.4,26.2,40272
KY,Nelson County,12.5,18.8,51843
KY,Nicholas County,21.5,34.3,37267
KY,Ohio County,19.9,27.5,40661
KY,Oldham County,6.2,6.7,84415
KY,Owen County,16.9,25.4,43686
KY,Owsley County,42.4,61.6,23341
KY,Pendleton County,16.4,23.5,49345
KY,Perry County,28.5,37.2,31740
KY,Pike County,25,32,34315
KY,Powell County,26,39.3,34510
KY,Pulaski County,23,31.7,40702
KY,Robertson County,22.5,36.7,40027
KY,Rockcastle County,22.9,32.4,33293
KY,Rowan County,27.2,32.4,36597
KY,Russell County,24.6,35.8,31968
KY,Scott County,13.1,18.1,63775
KY,Shelby County,11.5,17.1,60189
KY,Simpson County,16,26.2,45496
KY,Spencer County,9,11.9,68147
KY,Taylor County,23,33.8,35700
KY,Todd County,19.3,28.1,40963
KY,Trigg County,15.1,26.5,45106
KY,Trimble County,15.7,22.3,48392
KY,Union County,20.7,20.7,45239
KY,Warren County,18,22.9,45964
KY,Washington County,17.1,23.6,45143
KY,Wayne County,28,40.3,29826
KY,Webster County,18.1,24.9,44245
KY,Whitley County,29.2,38.9,31903
KY,Wolfe County,30.7,50.4,27196
KY,Woodford County,11.6,17,57862
LA,Louisiana,19.5,28.1,45829
LA,Acadia Parish,23.7,32.5,42033
LA,Allen Parish,20.4,24.3,42120
LA,Ascension Parish,10.7,14.8,74852
LA,Assumption Parish,16.8,25.2,48516
LA,Avoyelles Parish,25.3,34.7,34803
LA,Beauregard Parish,19.5,24.8,48206
LA,Bienville Parish,25.4,37.4,34565
LA,Bossier Parish,14.5,20.4,55403
LA,Caddo Parish,22.2,34.8,41081
LA,Calcasieu Parish,17.5,26,46523
LA,Caldwell Parish,22.9,32.8,38564
LA,Cameron Parish,12.7,17.6,56259
LA,Catahoula Parish,27.2,37,33958
LA,Claiborne Parish,30.9,37.1,33740
LA,Concordia Parish,29.5,41.6,33068
LA,De Soto Parish,24.9,38.7,41691
LA,East Baton Rouge Parish,18.5,26.5,50389
LA,East Carroll Parish,43.5,56.1,26325
LA,East Feliciana Parish,21.8,27.6,43105
LA,Evangeline Parish,25.7,32.1,33407
LA,Franklin Parish,25.4,40.7,33845
LA,Grant Parish,21.3,28.1,43437
LA,Iberia Parish,20.8,32.7,45039
LA,Iberville Parish,22.3,30.7,42000
LA,Jackson Parish,21.1,30.8,41029
LA,Jefferson Parish,16.3,27.1,49503
LA,Jefferson Davis Parish,20.3,27.2,43677
LA,Lafayette Parish,17,20.7,52411
LA,Lafourche Parish,14.1,20,53482
LA,La Salle Parish,18.5,21.8,46258
LA,Lincoln Parish,25.5,29.8,38118
LA,Livingston Parish,13.5,17.6,58774
LA,Madison Parish,37.6,52.7,27225
LA,Morehouse Parish,31.1,50,31777
LA,Natchitoches Parish,29.6,36.2,33786
LA,Orleans Parish,24,38.2,38640
LA,Ouachita Parish,23,33.1,38453
LA,Plaquemines Parish,17.3,19.7,49122
LA,Pointe Coupee Parish,19.3,29.2,42919
LA,Rapides Parish,21.6,31.7,42758
LA,Red River Parish,25.7,37.9,41742
LA,Richland Parish,24.7,37.3,34588
LA,Sabine Parish,18.1,25.9,42196
LA,St. Bernard Parish,20.4,30.3,41540
LA,St. Charles Parish,11.8,17.4,61601
LA,St. Helena Parish,19.9,34,36602
LA,St. James Parish,18.3,26.6,52258
LA,St. John the Baptist Parish,20.5,29.9,50596
LA,St. Landry Parish,27,37.2,33503
LA,St. Martin Parish,18.3,27.9,45435
LA,St. Mary Parish,19.7,28.3,40945
LA,St. Tammany Parish,12.5,17.3,63499
LA,Tangipahoa Parish,24,35,41768
LA,Tensas Parish,35.1,52.6,27077
LA,Terrebonne Parish,20.1,24.9,44450
LA,Union Parish,21.9,34.3,38741
LA,Vermilion Parish,18.1,23.6,46807
LA,Vernon Parish,17.5,23.3,44733
LA,Washington Parish,26.2,36.9,33453
LA,Webster Parish,25.9,40,34566
LA,West Baton Rouge Parish,15.1,22.1,55074
LA,West Carroll Parish,22.7,32.1,35484
LA,West Feliciana Parish,23.9,21.7,56680
LA,Winn Parish,24,30.4,36173
ME,Maine,13.2,17.5,51419
ME,Androscoggin County,15,21.8,48930
ME,Aroostook County,18.4,21.8,37104
ME,Cumberland County,10.7,12.2,63191
ME,Franklin County,14.6,21.4,42859
ME,Hancock County,11.5,16.2,48601
ME,Kennebec County,13.1,18,50408
ME,Knox County,11.4,17.9,47489
ME,Lincoln County,14.1,20.2,50152
ME,Oxford County,17,25.6,42674
ME,Penobscot County,17.1,19.1,44647
ME,Piscataquis County,19.1,30.5,36463
ME,Sagadahoc County,11.2,17.2,55645
ME,Somerset County,18.7,25.9,40165
ME,Waldo County,14.4,21.3,43198
ME,Washington County,18.8,28.8,35576
ME,York County,8.3,11.4,61340
MD,Maryland,9.9,13.9,75784
MD,Allegany County,20,27.1,39859
MD,Anne Arundel County,6,8.1,90825
MD,Baltimore County,9.1,11.9,68317
MD,Calvert County,5.9,8.1,98937
MD,Caroline County,14.4,22.9,51294
MD,Carroll County,6.2,7.2,84506
MD,Cecil County,10,14.8,68972
MD,Charles County,7.1,10.4,87941
MD,Dorchester County,18.1,29.8,44664
MD,Frederick County,7.4,9,83746
MD,Garrett County,13.6,19.3,46469
MD,Harford County,7.8,10.3,77992
MD,Howard County,5.2,6.5,110224
MD,Kent County,14.8,21.6,52274
MD,Montgomery County,7.5,10.5,98314
MD,Prince George's County,9.5,14.2,76366
MD,Queen Anne's County,7.2,10.5,83914
MD,St. Mary's County,8.7,12.7,83148
MD,Somerset County,25.8,35.9,38692
MD,Talbot County,10.4,15.9,62018
MD,Washington County,12,17.8,55270
MD,Wicomico County,14.7,21.7,52153
MD,Worcester County,11.3,20.7,53366
MD,Baltimore city,22.7,33.9,43192
MA,Massachusetts,11.5,14.9,70659
MA,Barnstable County,7.6,11.5,65735
MA,Berkshire County,14.3,19.6,50646
MA,Bristol County,12.6,17.3,59839
MA,Dukes County,8.5,13.4,64456
MA,Essex County,11.5,16.6,68237
MA,Franklin County,11.8,16.9,57325
MA,Hampden County,17.1,27.4,51415
MA,Hampshire County,15.3,11.6,60853
MA,Middlesex County,7.6,8.2,90025
MA,Nantucket County,7.3,8.5,86014
MA,Norfolk County,7.1,6.4,93187
MA,Plymouth County,9.7,12.4,74736
MA,Suffolk County,19.8,29.3,56530
MA,Worcester County,12.1,15.2,65621
MI,Michigan,15.7,22.2,51063
MI,Alcona County,15.8,30.8,37618
MI,Alger County,14.6,21,43341
MI,Allegan County,11.2,15.1,55611
MI,Alpena County,16.2,24.6,40665
MI,Antrim County,14.2,24.1,49118
MI,Arenac County,20.1,30.5,37120
MI,Baraga County,17.3,24.3,42389
MI,Barry County,9.3,14,57665
MI,Bay County,14.5,20.8,46256
MI,Benzie County,10.5,19.1,48127
MI,Berrien County,17.1,26.2,46588
MI,Branch County,14.9,23.7,47146
MI,Calhoun County,16.1,24,43864
MI,Cass County,14.8,22.5,49889
MI,Charlevoix County,11.6,18.3,48267
MI,Cheboygan County,17.6,28.4,41036
MI,Chippewa County,19.7,27.4,42473
MI,Clare County,24.7,38.8,33250
MI,Clinton County,10,10.8,65051
MI,Crawford County,17.2,31.2,40907
MI,Delta County,14.8,20.8,43020
MI,Dickinson County,12.3,17.8,47616
MI,Eaton County,10.9,15.7,56760
MI,Emmet County,11,15.7,49774
MI,Genesee County,20.5,30.2,44181
MI,Gladwin County,19.8,32.2,40746
MI,Gogebic County,18.6,27.5,38416
MI,Grand Traverse County,8.5,12.3,54874
MI,Gratiot County,16.5,20.6,42800
MI,Hillsdale County,16.6,24.6,46786
MI,Houghton County,17.4,18.4,41775
MI,Huron County,11.7,18.9,45917
MI,Ingham County,21,24.1,47470
MI,Ionia County,14.2,17.7,51013
MI,Iosco County,16.1,32.3,39874
MI,Iron County,14.6,25.5,36570
MI,Isabella County,26.1,20,41957
MI,Jackson County,16.2,25.2,50683
MI,Kalamazoo County,16,19,52252
MI,Kalkaska County,16.5,27.5,42829
MI,Kent County,14.5,19.1,54550
MI,Keweenaw County,13.4,21.4,40862
MI,Lake County,24.8,45.2,32971
MI,Lapeer County,10,14.7,57774
MI,Leelanau County,7.9,13.4,61397
MI,Lenawee County,14.3,20.9,49013
MI,Livingston County,6.5,7.8,76934
MI,Luce County,19.6,29.7,41870
MI,Mackinac County,16.1,26.1,40091
MI,Macomb County,11.7,16.8,54939
MI,Manistee County,15,25.8,41811
MI,Marquette County,15,17.9,48108
MI,Mason County,16.8,26.9,43620
MI,Mecosta County,21.3,29.6,41755
MI,Menominee County,16.9,26.8,42591
MI,Midland County,11.5,15,59248
MI,Missaukee County,17.5,26.2,42836
MI,Monroe County,10.6,14.6,56161
MI,Montcalm County,17.9,26.9,41728
MI,Montmorency County,18.2,33.9,37153
MI,Muskegon County,16.1,23.4,46709
MI,Newaygo County,16.3,23.1,45086
MI,Oakland County,9.3,11.7,70150
MI,Oceana County,17.2,28.9,43211
MI,Ogemaw County,19.4,34.2,37057
MI,Ontonagon County,14.6,30.3,37508
MI,Osceola County,18.7,29.9,41782
MI,Oscoda County,20.5,32.8,36724
MI,Otsego County,12.1,19.2,50420
MI,Ottawa County,8.6,9.2,61429
MI,Presque Isle County,13.6,25,41658
MI,Roscommon County,19.2,40.3,38516
MI,Saginaw County,18.6,27.7,43344
MI,St. Clair County,12.8,18.9,51183
MI,St. Joseph County,14.7,22.3,46667
MI,Sanilac County,16.7,24.8,41861
MI,Schoolcraft County,15.9,24.8,36741
MI,Shiawassee County,12.4,19.6,50807
MI,Tuscola County,15.5,25.1,45800
MI,Van Buren County,15.7,22.8,47806
MI,Washtenaw County,14.2,13.4,62401
MI,Wayne County,24.8,37,41585
MI,Wexford County,14.8,25.2,42922
MN,Minnesota,10.2,13.1,63459
MN,Aitkin County,14.2,22.4,43817
MN,Anoka County,7.1,9.2,73276
MN,Becker County,11.3,16.5,54304
MN,Beltrami County,16.2,23.5,46031
MN,Benton County,11.4,13.5,52513
MN,Big Stone County,11.5,15.9,47583
MN,Blue Earth County,17.2,14,49664
MN,Brown County,8.3,10.6,56330
MN,Carlton County,10.8,12.2,54945
MN,Carver County,4.5,4.7,93857
MN,Cass County,15,26,47645
MN,Chippewa County,11.1,15.3,50896
MN,Chisago County,6.3,7.9,70036
MN,Clay County,12.1,12.5,60417
MN,Clearwater County,14.6,23.3,42689
MN,Cook County,11.1,17.8,50350
MN,Cottonwood County,13.7,19.1,49448
MN,Crow Wing County,10.4,14.9,50755
MN,Dakota County,7.1,9.1,77576
MN,Dodge County,6.9,8.6,65494
MN,Douglas County,8.8,11.4,56819
MN,Faribault County,11.3,18.1,52169
MN,Fillmore County,10.8,17.1,52170
MN,Freeborn County,13.4,19.7,47418
MN,Goodhue County,8.9,10.8,60285
MN,Grant County,10.6,15.1,50570
MN,Hennepin County,10.9,13.9,68902
MN,Houston County,8.2,10.2,56276
MN,Hubbard County,10.6,18.3,52841
MN,Isanti County,7.7,10.1,63134
MN,Itasca County,12.7,17.7,52064
MN,Jackson County,9.2,13,54001
MN,Kanabec County,11.7,18.2,48907
MN,Kandiyohi County,10.9,16.8,52597
MN,Kittson County,10.2,14.1,55545
MN,Koochiching County,14.3,22,46807
MN,Lac qui Parle County,8.4,13.5,50764
MN,Lake County,9.8,14.6,53093
MN,Lake of the Woods County,11.7,16.2,46128
MN,Le Sueur County,8.5,10.9,62672
MN,Lincoln County,9.3,13.1,52164
MN,Lyon County,12.2,16.7,55051
MN,McLeod County,8.6,11,60549
MN,Mahnomen County,21.5,34.3,40849
MN,Marshall County,8.3,11.6,55889
MN,Martin County,13.6,19.5,48478
MN,Meeker County,7.9,10.5,58607
MN,Mille Lacs County,12.4,18.5,50633
MN,Morrison County,10.9,15,54245
MN,Mower County,10.8,16.1,50878
MN,Murray County,9,12.7,50378
MN,Nicollet County,10.7,11.6,58839
MN,Nobles County,12.9,17.2,50100
