State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
AR,Lawrence County,23.7,33.5,34808
AR,Lee County,35.9,48.7,28481
AR,Lincoln County,25.1,27.4,40216
AR,Little River County,19.9,28.2,39265
AR,Logan County,20.5,30.5,37924
AR,Lonoke County,11.9,16.7,56240
AR,Madison County,18.8,29.1,41007
AR,Marion County,18.8,34.7,34946
AR,Miller County,22.3,31.5,39005
AR,Mississippi County,26.3,37.6,34888
AR,Monroe County,30.9,46.7,30801
AR,Montgomery County,21.8,34.8,37813
AR,Nevada County,24,35.6,35914
AR,Newton County,24.2,37.1,33679
AR,Ouachita County,22.8,35.1,37987
AR,Perry County,16.8,25.9,43020
AR,Phillips County,37.3,56.4,28224
AR,Pike County,18.5,30.2,36266
AR,Poinsett County,23.9,36.6,32756
AR,Polk County,24.4,32.4,34723
AR,Pope County,20.8,24.6,41074
AR,Prairie County,19.6,28.5,39518
AR,Pulaski County,19.4,27.7,46473
AR,Randolph County,17.6,27.4,34730
AR,St. Francis County,30.7,44.3,31625
AR,Saline County,10.7,15.3,56926
AR,Scott County,20.8,34.7,36028
AR,Searcy County,22.2,39.1,30427
AR,Sebastian County,22.1,29.9,41452
AR,Sevier County,20.8,32.2,41848
AR,Sharp County,24.6,39.2,32095
AR,Stone County,21.5,36.3,32023
AR,Union County,19.7,27,42195
AR,Van Buren County,19,29.6,38306
AR,Washington County,16.9,21.3,46418
AR,White County,19.7,24.2,42508
AR,Woodruff County,25.8,39.3,31013
AR,Yell County,17.8,27.6,37415
CA,California,15.4,21.2,64483
CA,Alameda County,11.5,13.8,81462
CA,Alpine County,19,35.7,50882
CA,Amador County,13.1,19.5,55879
CA,Butte County,21.4,23.8,45369
CA,Calaveras County,13,21.2,52471
CA,Colusa County,13.2,19.4,51118
CA,Contra Costa County,10.2,12.7,83036
CA,Del Norte County,23.3,33.8,38963
CA,El Dorado County,9.1,11.6,75575
CA,Fresno County,25.2,36.3,46608
CA,Glenn County,18.5,25.7,43584
CA,Humboldt County,20.9,23,40739
CA,Imperial County,24.3,31.4,39925
CA,Inyo County,12.4,19.9,51697
CA,Kern County,21.9,31.3,51150
CA,Kings County,22.4,28.4,46440
CA,Lake County,20.5,30.2,37993
CA,Lassen County,17.1,19.7,54670
CA,Los Angeles County,16.7,23.5,59045
CA,Madera County,22.6,32.3,46593
CA,Marin County,7.5,8.8,99868
CA,Mariposa County,15.2,24.1,44595
CA,Mendocino County,20.3,27.3,43237
CA,Merced County,25.9,35.9,42879
CA,Modoc County,20.3,31.1,38402
CA,Mono County,11.2,17.3,53992
CA,Monterey County,15.3,22.3,60047
CA,Napa County,10.1,12.1,72683
CA,Nevada County,12.4,16.4,57627
CA,Orange County,12.7,16.8,78002
CA,Placer County,8.6,9,76203
CA,Plumas County,13.8,22.5,46813
CA,Riverside County,16.2,22.6,57895
CA,Sacramento County,16.9,22.7,58735
CA,San Benito County,9.3,14,76521
CA,San Bernardino County,18.9,27.3,53526
CA,San Diego County,13.9,17.8,67053
CA,San Francisco County,12.4,13.5,90527
CA,San Joaquin County,17.5,23.7,53341
CA,San Luis Obispo County,14.4,14.6,61761
CA,San Mateo County,8.4,9.7,101133
CA,Santa Barbara County,15.6,20,63049
CA,Santa Clara County,8.3,9,102191
CA,Santa Cruz County,15.4,17.6,64841
CA,Shasta County,19,26.5,45943
CA,Sierra County,13.8,17.4,47535
CA,Siskiyou County,22.6,31.4,37447
CA,Solano County,12,15.8,67202
CA,Sonoma County,11,14,66463
CA,Stanislaus County,19.5,26.6,51949
CA,Sutter County,17.5,24.4,50810
CA,Tehama County,22.5,32.1,40292
CA,Trinity County,19.7,32.1,37669
CA,Tulare County,27.2,36.3,42637
