EventDate,TheatreCode
16650104,lif
16650106,lif
16650113,bridges
16650114,bridges
16650130,none
16650200,bridges
16650202,it
16650202,atcourt
16650208,none
16650209,none
16650300,mts
16650320,none
16650400,bridges
16650403,lif
16650404,lif
16650405,none
16650406,lif
16650417,lif
16650420,atcourt
16650504,none
16650515,bridges
16650605,none
16650807,bf
16660319,bridges
16660717,none
16660803,none
16660822,moorflds
16660829,moorflds
16660829,bridges
16660901,moorflds
16661010,none
16661011,atcourt
16661018,atcourt
16661025,none
16661029,atcourt
16661029,city
16661105,atcourt
16661114,none
16661120,none
16661126,atcourt
16661129,none
16661200,lif
16661203,atcourt
16661207,bridges
16661208,bridges
16661210,atcourt
16661210,atcourt
16661217,atcourt
16661220,bridges
16661225,none
16661226,lif
16661227,bridges
16661228,lif
16661228,atcourt
16670101,atcourt
16670102,bridges
16670105,lif
16670107,lif
16670115,bridges
16670122,bridges
16670123,bridges
16670124,bridges
16670130,none
16670200,lif
16670200,bridges
16670204,lif
16670205,bridges
16670212,none
16670213,none
16670214,atcourt
16670214,atcourt
16670214,bridges
16670216,none
16670218,bridges
16670220,none
16670227,lif
16670301,none
16670302,bridges
16670304,bridges
16670305,bridges
16670307,lif
16670314,bridges
16670320,lif
16670320,cc
16670321,lif
16670325,bridges
16670328,lif
16670330,lif
16670400,bridges
16670401,none
16670408,bridges
16670408,cc
16670409,lif
16670409,bridges
16670415,bridges
16670416,bridges
16670417,bridges
16670418,lif
16670418,atcourt
16670419,lif
16670420,bridges
16670420,lif
16670422,bridges
16670427,bridges
16670501,bridges
16670502,atcourt
16670506,lif
16670509,atcourt
16670513,bridges
16670516,atcourt
16670518,bridges
16670521,lif
16670522,bridges
16670524,bridges
16670606,none
16670713,none
16670720,lif
16670801,bridges
16670805,lif
16670810,none
16670812,bridges
16670813,bridges
16670814,bridges
16670815,bridges
16670815,lif
16670816,lif
16670817,lif
16670817,bridges
16670819,lif
16670820,lif
16670821,lif
16670821,cc
16670822,bridges
16670823,bridges
16670824,bridges
16670826,bridges
16670828,atcourt
16670828,bf
16670830,bf
16670902,none
16670904,lif
16670904,bf
16670905,lif
16670906,bf
16670909,none
16670911,lif
16670912,lif
16670914,bridges
16670916,bridges
16670916,lif
16670920,bridges
16670925,bridges
16670926,bridges
16670927,bridges
16670928,lif
16671001,atcourt
16671002,bridges
16671004,lif
16671005,lif
16671005,bridges
16671007,lif
16671007,bridges
16671008,lif
16671014,lif
16671015,lif
16671016,lif
16671018,bridges
16671019,bridges
16671022,lif
16671023,bridges
16671024,lif
16671024,cc
16671025,atcourt
16671026,none
16671028,bridges
16671029,bridges
16671029,city
16671031,none
16671101,bridges
16671102,bridges
16671105,lif
16671106,lif
16671107,lif
16671108,lif
16671109,lif
16671111,lif
16671111,bridges
16671112,lif
16671113,lif
16671114,lif
16671115,atcourt
16671116,bridges
16671116,atcourt
16671119,lif
16671121,bridges
16671123,bridges
16671126,lif
16671128,bridges
16671207,bridges
16671211,bridges
16671212,lif
16671216,lif
16671226,bridges
16671228,lif
16671228,bridges
16671230,bridges
16680101,lif
16680104,bridges
16680106,lif
16680107,nursery
16680107,lif
16680107,bridges
16680108,lif
16680110,bridges
16680111,bridges
16680113,atcourt
16680120,bridges
16680124,bridges
16680127,atcourt
16680130,none
16680200,none
16680203,lif
16680203,atcourt
16680204,atcourt
16680205,none
16680206,lif
16680207,bridges
16680211,lif
16680218,bridges
16680220,bridges
16680222,lif
16680224,nursery
16680225,lif
16680225,nursery
16680227,bridges
16680302,bridges
16680305,bridges
16680307,lif
16680307,bridges
16680314,lif
16680316,none
16680325,bridges
16680326,lif
16680327,nursery
16680328,bridges
16680401,bridges
16680403,lif
16680407,bridges
16680408,lif
16680413,lif
16680414,bridges
16680415,bridges
16680417,bridges
16680418,lif
16680418,bridges
16680420,lif
16680421,bridges
16680423,lif
16680424,bridges
16680425,lif
16680427,bridges
16680428,bridges
16680429,lif
16680430,lif
16680501,bridges
16680502,lif
16680504,lif
16680505,lif
16680506,bridges
16680506,lif
16680507,lif
16680507,bridges
16680508,lif
16680509,bridges
16680511,lif
16680514,bridges
16680515,bridges
16680516,bridges
16680518,bridges
16680520,bridges
16680522,lif
16680529,atcourt
16680530,bridges
16680531,lif
16680603,bridges
16680612,bridges
16680613,bridges
16680615,bridges
16680616,bridges
16680617,bridges
16680618,bridges
16680619,bridges
16680620,bridges
16680622,bridges
16680624,lif
16680627,bridges
16680629,none
16680706,lif
16680711,bridges
16680714,bridges
16680717,bridges
16680728,lif
16680729,bridges
16680731,bridges
16680801,bridges
16680805,lif
16680812,lif
16680815,bridges
16680817,lif
16680820,lif
16680829,lif
16680829,bf
16680831,lif
16680831,bf
16680900,none
16680901,bf
16680902,none
16680904,bridges
16680907,bf
16680910,lif
16680914,bridges
16680915,bridges
16680917,bridges
16680918,bridges
16680919,bridges
16680921,sf
16680928,bridges
16680928,atcourt
16681010,bridges
16681012,bridges
16681014,bridges
16681014,atcourt
16681019,lif
16681029,none
16681106,bridges
16681109,atcourt
16681116,atcourt
16681117,atcourt
16681121,atcourt
16681125,lif
16681130,atcourt
16681202,bridges
16681203,bridges
16681203,lif
16681207,atcourt
16681208,lif
16681209,lif
16681214,atcourt
16681218,bridges
16681219,bridges
16681221,lif
16681226,lif
16681228,atcourt
16681229,lif
16681230,lif
16690101,bridges
16690102,bridges
16690105,none
16690107,bridges
16690111,bridges
16690112,bridges
16690112,bridges
16690113,bridges
16690115,lif
16690116,bridges
16690118,lif
16690118,bridges
16690119,bridges
16690120,lif
16690120,bridges
16690121,lif
16690121,bridges
16690127,lif
16690129,bridges
16690130,none
16690201,bridges
16690201,lif
16690201,atcourt
16690202,it
16690202,bridges
16690206,bridges
16690208,atcourt
16690209,bridges
16690210,none
16690215,bridges
16690215,atcourt
16690218,lif
16690219,lif
16690220,lif
16690222,atcourt
16690223,lif
16690224,none
16690225,lif
16690226,bridges
16690226,lif
16690227,bridges
16690227,lif
16690301,lif
16690302,lif
16690303,lif
16690304,lif
16690304,bridges
16690306,bridges
16690308,bridges
16690309,bridges
16690317,bridges
16690323,bridges
16690330,lif
16690405,none
16690414,lif
16690415,lif
16690415,bridges
16690416,lif
16690417,bridges
16690420,lif
16690422,vere
16690423,bridges
16690424,bridges
16690424,lif
16690506,bridges
16690510,lif
16690512,lif
16690513,lif
16690514,lif
16690515,lif
16690517,lif
16690517,bridges
16690518,lif
16690519,lif
16690520,lif
16690524,bridges
16690614,lif
16690624,bridges
16690700,none
16690800,bridges
16690903,none
16691026,atcourt
16691029,city
16691101,it
16691214,lif
16700100,lif
16700107,lif
16700112,lif
16700202,it
16700219,lif
16700226,none
16700300,bridges
16700310,lif
16700328,none
16700400,lif
16700406,atcourt
16700500,bridges
16700509,lif
16700511,dover
16700519,dover
16700620,lif
16700622,none
16700800,bridges
16700920,lif
16701020,lif
16701029,city
16701100,lif
16701100,lif
16701101,it
16701104,atcourt
16701105,lif
16701114,lif
16701200,bridges
16701210,lif
16701212,lif
16701213,lif
16701214,lif
16701215,lif
16701216,lif
16710102,bridges
16710103,bridges
16710109,lif
16710114,lif
16710115,none
16710125,bridges
16710126,bridges
16710130,none
16710131,bridges
16710202,it
16710203,none
16710204,none
16710206,atcourt
16710209,atcourt
16710210,atcourt
16710211,atcourt
16710217,lif
16710220,atcourt
16710221,atcourt
16710222,none
16710224,lif
16710227,ormond's
16710300,bridges
16710304,none
16710306,lif
16710309,lif
16710315,lif
16710316,none
16710331,none
16710401,none
16710402,atcourt
16710412,lif
16710417,none
16710500,bridges
16710600,bridges
16710600,lif
16710626,dg
16710700,oxford
16710800,bridges
16710900,lif
16710919,atcourt
16711026,none
16711030,city
16711100,dg
16711101,it
16711101,mt
16711109,dg
16711110,dg
16711111,dg
16711113,dg
16711114,dg
16711114,atcourt
16711115,dg
16711118,lif
16711207,bridges
16711214,bridges
16711227,dg
16720100,atcourt
16720100,bridges
16720100,bridges
16720109,none
16720115,dg
16720125,bridges
16720130,none
16720131,dg
16720202,mt
